Ticker
BBDO
HPQ
BF.B
DG
BAH
BF.A
IBKR
KMB
TPL
ERIC
INTC
TGT
FE
CMS
WBA
WMG
SUZ
RCI
CTVA
CSX
TMO
EC
CLX
TLK
NSC
GOLD
BA
LYB
HOLX
GIS
EVRG
TW
COR
CNP
CDW
APD
UNP
CAH
BDX
NEM
BBVA
HRL
AEM
HSBC
MCK
PG
SAIA
RPRX
DHR
MTCH
LH
PCTY
AEE
QCOM
LIN
ACN
BCE
T
SGEN
RY/PT
AME
HZNP
RJF/PB
NKE
PGR
CPB
UL
WLK
MAA/PI
HLN
ACI
ADP
WPM
NICE
A
RSG
COO
DD
ED
PAYX
WIT
MU
PFE
NFLX
EW
SNA
VZ
CL
ETR
OXY
PPL
WM
BML/PG
CHD
RTX
DOW
CSL
TRI
ATVI
PAYC
ABEV
TU
DGX
PNC
CHKP
HAL
SRPT
C/PJ
TSN
HWM
SO
SLB
TS
CME
SPLK
OTIS
ITW
INCY
WST
K
TAP.A
NUE
REXR/PC
C/PK
KR
MS/PF
ABT
IEX
DOX
NDSN
GEN
ERIE
STT/PD
KHC
WBD
WEC
RELX
LDOS
USB/PA
STE
EXC
DEO
KVUE
GD
PUK
GRMN
IBM
FMS
BKR
EQT
SAN
SPG/PJ
PEG
JNJ
CBOE
ORLY
VRSN
RVTY
EOG
RNR
CVX
MS/PE
CP
STZ
XOM
ALL/PB
CNI
PM
UPS
WTW
OWL
SHEL
GS/PK
CHT
LECO
TFII
TSCO
BMRN
AJG
DVN
NOK
FNV
FANG
AEP
WMT
RYAN
ROK
ECL
HUM
MTD
WAT
EDR
ZTO
CVS
EPD
TYL
CQP
EXAS
RMD
RACE
BCH
RBLX
SONY
DOV
ROL
VEEV
BALL
MMC
HES
JPM
CINF
HDB
FTS
CTRA
EFX
KDP
BR
GLW
ET/PD
KMI
WCN
SJM
MKL
GGG
WFC/PR
MER/PK
IT
GSK
L
XEL
DUK
NWG
PNR
SAP
COP
ROP
FDS
ADM
SHW
MET/PA
AON
STLD
WAB
SMFG
ES
EA
INFY
IQV
ATO
TRV
CTSH
ETN
CE
UNH
BRO
DTE
FTV
DELL
ESS
VIV
MSI
ET/PC
APH
COST
DE
WSO
MAA
RPM
WMB
TTWO
EXPD
STX
SHG
SNOW
OMC
HSY
MS/PA
VRSK
GDDY
PPG
HON
JBHT
WSO.B
CSGP
WDC
TXT
MLM
CTAS
KO
TXN
CASY
LNG
MCD
PKX
BIP
CHTR
ALL
TT
APA
IFF
NTAP
AZPN
LOGI
CB
O
LKQ
LNT
TJX
NEE/PR
EMR
ILMN
LMT
AZN
SWKS
NOC
GMAB
EXR
LI
REGCP
CMSC
TTE
CMI
UDR
AVY
KEYS
NTES
VMC
FITBP
RYAAY
TEL
DLTR
D
WRB
FCX
AVB
CF
SNY
LYG
MRO
CI
KB
ALB
GL
ING
SBUX
BMY
GILD
BUD
MDLZ
MA
CAG
SRE
WES
RDY
PEP
V
FTNT
AIU
TRP
PCAR
REXR/PB
EG
INVH
RTO
BIO
MO
ELS
ARE
FOX
EDU
BML/PJ
EBAY
MRNA
TDY
PYPL
HWM/P
FOXA
AMCR
EQR
ODFL
AGR
ALGN
CCK
KMX
BTI
BP
FITBI
GE
MPWR
PHG
HEI
PXD
AMH
OKE
AAPL
BCS
PKG
ZTS
AZO
CAT
LUV
MS/PI
PSA/PL
ICLR
ET/PE
LRCX
MPLX
IPG
GIB
JPM/PD
YUM
LHX
SU
ELV
ASX
HBANL
VMW
JPM/PK
MS/PP
HEI.A
PH
UMC
CNQ
MRK
BAC/PE
SCHW/PJ
LVS
GL/PD
TECH
BIIB
NEE
DLR/PJ
MFG
GFL
ORAN
JCI
KLAC
BN
VOD
SCCO
EL
IP
MUFG
ITUB
AKAM
HLT
TER
AMH/PG
CMG
BRK.A
AFL
IMO
EIX
ADI
JPM/PC
AMH/PH
MTB/PH
AMAT
SIRI
VRTX
GWW
EQIX
WY
BRK.B
MCHP
IDXX
AXON
C
FMX
PANW
TFC
HIG
JBL
CMSD
XYL
ABBV
TRMB
FITBO
MAR
SQM
STLA
FAST
SSNC
CVE
GOOGL
BK
TWLO
